country,alert_lab,alert_type,alert_stringency,impact_mean,eff_mean,ppv,missed_prop,delay_mean,std_impact,std_eff,std_ppv,std_missed,std_delay,util_score
GIN,≥ 25 total,cum case,3,198.3,12,0.3,0,2,0.2,0.1,0.2,0.5,-0.1,0.9
SLE,≥ .25 per 10K,rate,1,91.1,3,0.1,0,1.5,-0.6,-0.7,0.8,0.5,0.8,0.8000000000000002
ETH,≥ 50 total,cum case,4,253.6,10.4,0.2,0,1.1,0.2,0.1,-0.3,0.5,0.3,0.8
SSD,≥ 25 weekly,case,4,250.5,19.7,0.4,0,3.4,0.7,-0.9,1.1,0.5,-0.7,0.7000000000000001
CMR,≥ 50 total,cum case,4,162.8,5.2,0.2,0,1,0.4,0.1,-0,0.5,-0.3,0.7000000000000001
ETH,≥ 100 total,cum case,5,284.7,11.5,0.2,0.1,2.5,0.5,0.4,0,0.3,-0.5,0.7
CMR,≥ .5 per 10K,rate,2,147.7,4.9,0.2,0,0,0.2,0,-0.2,0.5,0.2,0.7
CMR,≥ 1 per 10K,rate,3,147.7,4.9,0.2,0,0,0.2,0,-0.2,0.5,0.2,0.7
CMR,≥ 2.5 per 10K,rate,5,166.8,5.6,0.2,0,1.5,0.5,0.3,-0,0.5,-0.6,0.7
ETH,≥ 10 weekly,case,3,266.7,11.2,0.2,0,2.1,0.3,0.3,-0.2,0.5,-0.3,0.6
COD,≥ 50 total,cum case,4,226.6,1623.2,0.2,0,1.6,-0.2,0.7,-0,0.5,-0.4,0.5999999999999999
SSD,≥ 10 weekly,case,3,215,27.8,0.3,0,2.4,0.2,-0.4,0.4,0.5,-0.3,0.4
ETH,≥ 5 per 10K,rate,6,275,11.8,0.2,0.1,2.9,0.4,0.5,-0.1,0.3,-0.7,0.4
ETH,1-week,trend,2,121.1,5.2,0.1,0,-3.2,-1.1,-1,-0.8,0.5,2.7,0.30000000000000004
SLE,≥ 50 total,cum case,4,133.4,4.1,0,0,2.5,0.5,0.2,-0.9,0.5,0,0.3
ETH,≥ 25 weekly,case,4,303.1,12,0.3,0.1,4.6,0.6,0.5,0.5,0.3,-1.7,0.2
SSD,3-week,trend,6,188.9,33.1,0.2,0,1.1,-0.1,-0,-0.4,0.5,0.2,0.19999999999999998
SSD,≥ 5 weekly,case,2,199.8,30.5,0.3,0,2.1,0,-0.2,0.1,0.5,-0.2,0.19999999999999998
ETH,≥ 25 total,cum case,3,206.6,8.9,0.1,0,0.3,-0.3,-0.2,-0.6,0.5,0.7,0.09999999999999998
CMR,≥ 10 weekly,case,3,156.4,5,0.2,0,2,0.3,0.1,-0,0.5,-0.8,0.09999999999999995
COD,2-week,trend,4,101.4,330.1,0.1,0,-8.3,-0.6,-0.6,-0.7,0.5,1.4,0
